neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span>Stadsdeel Zuid</span>,,"142 m²,142 m²","€ 3.750,-,€ 3.750,-",4,,Parking possibility,,Unfurnished,1077 EM Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"95 m²,95 m²","€ 1.750,-,€ 1.750,-",2,,Flooring: Laminate,,Unfurnished,1094 HW Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"95 m²,95 m²","€ 1.995,-,€ 1.995,-",3,,"exclusive:  Gas, Water, Electricity",,Furnished,1098 BN Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"195 m²,195 m²","€ 4.750,-,€ 4.750,-",5,,,,Unfurnished,1077 ES Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"200 m²,200 m²","€ 4.750,-,€ 4.750,-",5,,Storage,,Unfurnished,1077 ES Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"80 m²,80 m²","€ 1.800,-,€ 1.800,-",3,,Quality of public transportation: Good,,Unfurnished,1094 XX Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"90 m²,90 m²","€ 1.650,-,€ 1.650,-",3,,"exclusive:  Gas, Water, Electricity",,Unknown,1098 EP Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"80 m²,80 m²","€ 1.600,-,€ 1.600,-",2,,Flooring: Wood,,Furnished,1095 TE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"50 m²,50 m²","€ 1.750,-,€ 1.750,-",2,,,,Furnished,1095 CN Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"85 m²,85 m²","€ 1.700,-,€ 1.700,-",3,,Quality of public transportation: Average,,Furnished,1095 DS Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"110 m²,110 m²","€ 1.775,-,€ 1.775,-",3,,"exclusive:  Gas, Water, Electricity",,Unknown,1098 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"135 m²,135 m²","€ 2.250,-,€ 2.250,-",4,,Quality of public transportation: Average,,Unfurnished,1098 CJ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",2,,,,Shell,1094 KL Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"70 m²,70 m²","€ 1.850,-,€ 1.850,-",2,,Storage,,Furnished,1098 KV Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1098 XB Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1098 XB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.350,-,€ 1.350,-",1,,,,Furnished,1081 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1098 XB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.350,-,€ 1.350,-",1,,,,Furnished,1081 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"68 m²,68 m²","€ 1.250,-,€ 1.250,-",2,,Construction year: 1956,,Furnished,1098 PM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"75 m²,75 m²","€ 1.650,-,€ 1.650,-",2,,,,Furnished,1081 GC Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.350,-,€ 1.350,-",1,,,,Furnished,1081 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"130 m²,130 m²","€ 2.200,-,€ 2.200,-",3,,Bath tub,,Unfurnished,1098 XA Amsterdam (Noord-Holland)
<span>Amstelveen</span>,,"170 m²,170 m²","€ 3.500,-,€ 3.500,-",5,,Parking possibility,,Unknown,1181 BP Amstelveen (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"85 m²,85 m²","€ 1.550,-,€ 1.550,-",2,,Quality of public transportation: Good,,Furnished,1081 GG Amsterdam (Noord-Holland)
<span>Amstelveen</span>,,"50 m²,50 m²","€ 1.250,-,€ 1.250,-",1,,"Price inclusive: Gas, Water, Electricity, Service costs, Internet, Television",,Furnished,1181 BV Amstelveen (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 1.600,-,€ 1.600,-",4,,Parking possibility,,"Furnished,or unfurnished",1081 AW Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"86 m²,86 m²","€ 1.750,-,€ 1.750,-",2,,Storage,,Furnished,1098 XA Amsterdam (Noord-Holland)
