neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span>Stadsdeel Nieuw-West</span>,,"87 m²,87 m²","€ 1.400,-,€ 1.400,-",2,,,,Furnished,1061 WB Amsterdam (Noord-Holland)
<span></span>,,"91 m²,91 m²","€ 1.650,-,€ 1.650,-",2,,,,Furnished,1095 MA Amsterdam (Noord-Holland)
<span></span>,,"90 m²,90 m²","€ 1.750,-,€ 1.750,-",2,,,,Unfurnished,1095 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"91 m²,91 m²","€ 1.750,-,€ 1.750,-",2,,Bath tub,,Furnished,1095 MA Amsterdam (Noord-Holland)
<span></span>,,"55 m²,55 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1095 MA Amsterdam (Noord-Holland)
<span></span>,,"54 m²,54 m²","€ 1.390,-,€ 1.390,-",1,,,,"Furnished,or unfurnished",1095 MA Amsterdam (Noord-Holland)
<span></span>,,"65 m²,65 m²","€ 1.450,-,€ 1.450,-",1,,,,Furnished,1095 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"133 m²,133 m²","€ 1.950,-,€ 1.950,-",3,,,,Furnished,1078 LV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"133 m²,133 m²","€ 1.950,-,€ 1.950,-",3,,,,Furnished,1078 LV Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 885,-,€ 885,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"65 m²,65 m²","€ 1.550,-,€ 1.550,-",1,,Bath tub,,Unfurnished,1058 JK Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 885,-,€ 885,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 885,-,€ 885,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 2.000,-,€ 2.000,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1079 JR Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"76 m²,76 m²","€ 1.030,-,€ 1.030,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"87 m²,87 m²","€ 1.400,-,€ 1.400,-",2,,,,Furnished,1061 WB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 2.000,-,€ 2.000,-",2,,Ground floor,,Unfurnished,1079 JR Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"100 m²,100 m²","€ 2.500,-,€ 2.500,-",2,,Parking possibility,,Furnished,1058 EH Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"87 m²,87 m²","€ 1.400,-,€ 1.400,-",2,,,,Furnished,1061 WB Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"87 m²,87 m²","€ 1.400,-,€ 1.400,-",2,,,,Furnished,1061 WB Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"87 m²,87 m²","€ 1.400,-,€ 1.400,-",2,,,,Furnished,1061 WB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"133 m²,133 m²","€ 1.950,-,€ 1.950,-",3,,,,Furnished,1078 LV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"133 m²,133 m²","€ 1.950,-,€ 1.950,-",3,,,,Furnished,1078 LV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"133 m²,133 m²","€ 1.950,-,€ 1.950,-",3,,,,Furnished,1078 LV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"133 m²,133 m²","€ 1.950,-,€ 1.950,-",3,,,,Furnished,1078 LV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 1.600,-,€ 1.600,-",1,,,,Furnished,1078 XN Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 1.750,-,€ 1.750,-",1,,Price inclusive: Service costs,,Furnished,1078 GK Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 1.375,-,€ 1.375,-",1,,Parking possibility,,Unfurnished,1079 WL Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 1.700,-,€ 1.700,-",2,,Quality of public transportation: Average,,Unfurnished,1078 GT Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"95 m²,95 m²","€ 1.750,-,€ 1.750,-",2,,,,Unfurnished,1078 GT Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"85 m²,85 m²","€ 1.500,-,€ 1.500,-",2,,Quality of public transportation: Good,,Furnished,1064 CZ Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"85 m²,85 m²","€ 1.250,-,€ 1.250,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1064 EA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"115 m²,115 m²","€ 2.300,-,€ 2.300,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1078 GG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.990,-,€ 1.990,-",2,,Quality of public transportation: Good,,Furnished,1078 AS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"95 m²,95 m²","€ 1.850,-,€ 1.850,-",2,,Quality of public transportation: Average,,Furnished,1078 HP Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"85 m²,85 m²","€ 1.700,-,€ 1.700,-",2,,,,Unfurnished,1079 ET Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"127 m²,127 m²","€ 1.900,-,€ 1.900,-",1,,,,Furnished,1078 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"107 m²,107 m²","€ 1.975,-,€ 1.975,-",2,,,,Unfurnished,1078 PD Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",4,,Storage,,Furnished,1078 NL Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"140 m²,140 m²","€ 2.900,-,€ 2.900,-",3,,Garden,,Furnished,1091 TB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"55 m²,55 m²","€ 1.400,-,€ 1.400,-",1,,,,Furnished,1073 TG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"136 m²,136 m²","€ 2.950,-,€ 2.950,-",4,,Storage,,"Furnished,or unfurnished",1078 NL Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 2.750,-,€ 2.750,-",2,,Quality of public transportation: Good,,Furnished,1078 DH Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 2.000,-,€ 2.000,-",2,,"exclusive:  Gas, Water, Electricity",,Unknown,1078 MK Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 1.750,-,€ 1.750,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1078 MS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"50 m²,50 m²","€ 1.300,-,€ 1.300,-",2,,Quality of public transportation: Good,,Furnished,1079 VA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 1.900,-,€ 1.900,-",2,,Price inclusive: Service costs,,Furnished,1078 MS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"65 m²,65 m²","€ 1.650,-,€ 1.650,-",2,,"Price inclusive: Gas, Water, Electricity",,Furnished,1079 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 2.350,-,€ 2.350,-",3,,,,Unfurnished,1079 TM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",3,,"exclusive:  Gas, Water, Electricity",,Furnished,1079 KA Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"90 m²,90 m²","€ 1.450,-,€ 1.450,-",1,,Garage,,Unfurnished,1091 ST Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"105 m²,105 m²","€ 2.350,-,€ 2.350,-",2,,Bath tub,,Furnished,1096 HV Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"104 m²,104 m²","€ 1.650,-,€ 1.650,-",2,,,,Unfurnished,1096 HR Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"91 m²,91 m²","€ 1.600,-,€ 1.600,-",1,,Parking possibility,,Unfurnished,1096 AA Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"100 m²,100 m²","€ 1.650,-,€ 1.650,-",2,,Quality of public transportation: Average,,Unfurnished,1096 HR Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"85 m²,85 m²","€ 1.700,-,€ 1.700,-",2,,,,Furnished,1096 AA Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"65 m²,65 m²","€ 1.400,-,€ 1.400,-",2,,,,Unfurnished,1092 GT Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"85 m²,85 m²","€ 1.055,-,€ 1.055,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 HS Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"76 m²,76 m²","€ 1.030,-,€ 1.030,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"76 m²,76 m²","€ 1.030,-,€ 1.030,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"110 m²,110 m²","€ 2.000,-,€ 2.000,-",3,,,,Unfurnished,1091 TG Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"76 m²,76 m²","€ 1.030,-,€ 1.030,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"90 m²,90 m²","€ 1.600,-,€ 1.600,-",3,,,,Furnished,1091 NC Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"92 m²,92 m²","€ 1.650,-,€ 1.650,-",2,,Garage,,"Furnished,or unfurnished",1087 DJ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 885,-,€ 885,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"181 m²,181 m²","€ 1.475,-,€ 1.475,-",4,,"exclusive:  Gas, Water, Electricity",,Shell,1087 DJ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"61 m²,61 m²","€ 865,-,€ 865,-",1,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"92 m²,92 m²","€ 1.800,-,€ 1.800,-",2,,,,Shell,1054 VZ Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 2.000,-,€ 2.000,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1075 XH Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"75 m²,75 m²","€ 1.750,-,€ 1.750,-",1,,,,Furnished,1054 VP Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"85 m²,85 m²","€ 1.950,-,€ 1.950,-",1,,Parking possibility,,Furnished,1054 VZ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"115 m²,115 m²","€ 2.495,-,€ 2.495,-",2,,Construction year: 2005,,Furnished,1087 AW Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"71 m²,71 m²","€ 1.750,-,€ 1.750,-",2,,Parking possibility,,Unfurnished,1054 KS Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"75 m²,75 m²","€ 1.400,-,€ 1.400,-",2,,Quality of public transportation: Good,,Furnished,1087 AZ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"110 m²,110 m²","€ 1.100,-,€ 1.100,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1087 DN Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"117 m²,117 m²","€ 1.160,-,€ 1.160,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1087 DN Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"140 m²,140 m²","€ 1.275,-,€ 1.275,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1087 DP Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"98 m²,98 m²","€ 1.045,-,€ 1.045,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1087 DP Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"80 m²,80 m²","€ 1.850,-,€ 1.850,-",2,,"Price inclusive: Gas, Water, Electricity",,Furnished,1054 LX Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 1.975,-,€ 1.975,-",2,,Parking possibility,,Furnished,1058 HE Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"170 m²,170 m²","€ 2.750,-,€ 2.750,-",3,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1054 KJ Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"92 m²,92 m²","€ 2.000,-,€ 2.000,-",3,,,,Shell,1053 SH Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"170 m²,170 m²","€ 2.750,-,€ 2.750,-",3,,Bath tub,,Unfurnished,1054 KJ Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"75 m²,75 m²","€ 1.750,-,€ 1.750,-",2,,,,Furnished,1054 LP Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"100 m²,100 m²","€ 2.500,-,€ 2.500,-",3,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1054 EP Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"100 m²,100 m²","€ 2.495,-,€ 2.495,-",2,,Storage,,Furnished,1054 KV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.495,-,€ 1.495,-",2,,,,Shell,1011 SK Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.495,-,€ 1.495,-",2,,,,Shell,1011 SK Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 1.750,-,€ 1.750,-",3,,Price inclusive: Exclusive,,Furnished,1072 BL Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"100 m²,100 m²","€ 2.485,-,€ 2.485,-",2,,Garden,,Furnished,1054 KV Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.325,-,€ 1.325,-",1,,,,Unfurnished,1052 GX Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.325,-,€ 1.325,-",1,,,,Unfurnished,1052 GX Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 1.750,-,€ 1.750,-",3,,Price inclusive: Exclusive,,Furnished,1072 BL Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"125 m²,125 m²","€ 3.000,-,€ 3.000,-",3,,Bath tub,,Furnished,1054 ER Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"67 m²,67 m²","€ 1.695,-,€ 1.695,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1016 TW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Unfurnished,1012 TN Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"115 m²,115 m²","€ 2.250,-,€ 2.250,-",2,,,,Furnished,1054 TR Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"122 m²,122 m²","€ 2.850,-,€ 2.850,-",2,,,,Unfurnished,1011 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"122 m²,122 m²","€ 2.850,-,€ 2.850,-",2,,,,Unfurnished,1011 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Shell,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Shell,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.495,-,€ 1.495,-",2,,,,Shell,1011 SK Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"81 m²,81 m²","€ 1.700,-,€ 1.700,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1082 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"81 m²,81 m²","€ 1.700,-,€ 1.700,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1082 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.495,-,€ 1.495,-",2,,,,Shell,1011 SK Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 1.750,-,€ 1.750,-",3,,Price inclusive: Exclusive,,Furnished,1072 BL Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 1.750,-,€ 1.750,-",3,,Price inclusive: Exclusive,,Furnished,1072 BL Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.325,-,€ 1.325,-",1,,,,Unfurnished,1052 GX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 3.200,-,€ 3.200,-",2,,Bath tub,,Unfurnished,1015 XE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"38 m²,38 m²","€ 1.700,-,€ 1.700,-",1,,Parking possibility,,Furnished,1016 VC Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"72 m²,72 m²","€ 1.450,-,€ 1.450,-",1,,Price inclusive: Service costs,,Furnished,1052 CZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"95 m²,95 m²","€ 2.650,-,€ 2.650,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1016 GJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"70 m²,70 m²","€ 1.350,-,€ 1.350,-",1,,"inclusive:  exclusive, Gas, Water, Electricity",,Furnished,1016 EX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"122 m²,122 m²","€ 2.850,-,€ 2.850,-",2,,,,Unfurnished,1011 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Shell,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Shell,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Shell,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"85 m²,85 m²","€ 1.700,-,€ 1.700,-",2,,Quality of public transportation: Average,,Furnished,1082 NN Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"81 m²,81 m²","€ 1.700,-,€ 1.700,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1082 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"70 m²,70 m²","€ 1.550,-,€ 1.550,-",2,,Storage,,Furnished,1082 SV Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.500,-,€ 1.500,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1052 JV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"140 m²,140 m²","€ 2.000,-,€ 2.000,-",3,,Parking possibility,,Furnished,1082 KN Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 1.650,-,€ 1.650,-",1,,Storage,,Furnished,1012 EN Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 1.650,-,€ 1.650,-",1,,,,Furnished,1082 GV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"135 m²,135 m²","€ 2.100,-,€ 2.100,-",3,,,,Furnished,1082 KD Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 1.650,-,€ 1.650,-",2,,Bath tub,,Furnished,1082 GV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 2.950,-,€ 2.950,-",2,,Parking possibility,,Furnished,1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"110 m²,110 m²","€ 2.600,-,€ 2.600,-",2,,Bath tub,,Furnished,1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",3,,Bath tub,,Furnished,1082 HC Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"125 m²,125 m²","€ 2.950,-,€ 2.950,-",2,,Quality of public transportation: Average,,Furnished,1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"110 m²,110 m²","€ 2.700,-,€ 2.700,-",1,,,,Unfurnished,1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 1.450,-,€ 1.450,-",2,,Parking possibility,,Furnished,1082 XS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"126 m²,126 m²","€ 2.250,-,€ 2.250,-",3,,Quality of public transportation: Good,,Furnished,1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"200 m²,200 m²","€ 4.210,-,€ 4.210,-",2,,,,Furnished,1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"40 m²,40 m²","€ 1.020,-,€ 1.020,-",1,,,,"Furnished,or unfurnished",1082 HP Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"180 m²,180 m²","€ 4.150,-,€ 4.150,-",3,,Parking possibility,,"Furnished,or unfurnished",1082 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 1.500,-,€ 1.500,-",1,,Bath tub,,Furnished,1082 KA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"81 m²,81 m²","€ 1.700,-,€ 1.700,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1082 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.500,-,€ 1.500,-",1,,,,Shell,1012 AE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"81 m²,81 m²","€ 1.700,-,€ 1.700,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1082 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"81 m²,81 m²","€ 1.700,-,€ 1.700,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1082 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"150 m²,150 m²","€ 4.000,-,€ 4.000,-",2,,Garage,,Furnished,1082 KT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"85 m²,85 m²","€ 1.600,-,€ 1.600,-",2,,,,Unfurnished,1012 BS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"69 m²,69 m²","€ 1.550,-,€ 1.550,-",2,,Quality of public transportation: Good,,"Furnished,or unfurnished",1082 KG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"200 m²,200 m²","€ 4.950,-,€ 4.950,-",1,,Bath tub,,Furnished,1011 HV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,,,Furnished,1012 CT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"40 m²,40 m²","€ 1.325,-,€ 1.325,-",1,,,,Furnished,1011 KJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"200 m²,200 m²","€ 3.950,-,€ 3.950,-",1,,Ground floor,,Furnished,1011 HV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"135 m²,135 m²","€ 2.750,-,€ 2.750,-",2,,,,Unfurnished,1012 EX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"128 m²,128 m²","€ 3.500,-,€ 3.500,-",3,,,,Unfurnished,1011 HH Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"90 m²,90 m²","€ 1.875,-,€ 1.875,-",2,,,,Furnished,1012 EW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 1.875,-,€ 1.875,-",2,,,,Furnished,1012 EW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 3.500,-,€ 3.500,-",3,,Quality of public transportation: Good,,Furnished,1012 DV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.950,-,€ 1.950,-",2,,,,Furnished,1012 EW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.600,-,€ 1.600,-",2,,Parking possibility,,Unfurnished,1012 ES Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.875,-,€ 1.875,-",2,,Bath tub,,Shell,1012 ED Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 2.750,-,€ 2.750,-",2,,Quality of public transportation: Good,,Furnished,1012 DV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"128 m²,128 m²","€ 3.500,-,€ 3.500,-",3,,Bath tub,,Unfurnished,1011 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 1.850,-,€ 1.850,-",2,,,,Unfurnished,1012 DG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"122 m²,122 m²","€ 2.850,-,€ 2.850,-",2,,,,Unfurnished,1011 JW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.900,-,€ 1.900,-",2,,Quality of public transportation: Good,,Furnished,1011 HE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"122 m²,122 m²","€ 2.850,-,€ 2.850,-",2,,,,Unfurnished,1011 JW Amsterdam (Noord-Holland)
